date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:37	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Mar%202022%2017:25:37%20GMT	http://localhost/robots.txt		(from )
17:25:38	197381/197381	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Mar%202022%2017:25:37%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/index.html	(from )
17:25:39	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2009%20Mar%202022%2017:25:38%20GMT	http://localhost/wordpress/xmlrpc.php	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/xmlrpc.php	(from http://localhost/wordpress/)
17:25:39	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5d9a7b17d0dc7%22	http://localhost/wordpress/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from http://localhost/wordpress/)
17:25:39	1681/1681	---M-Z	200	added ('OK')	application/rss+xml	etag:%221f696b31b8825f0d9c603ec335ba9b50-gzip%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
17:25:40	1649/1649	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e8f0496f00cd3afa1f679f19ed63456c-gzip%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
17:25:40	105690/105690	---M-Z	200	added ('OK')	text/css	etag:%2219cda-5d9cc5ed31935-gzip%22	http://localhost/wordpress/wp-content/et-cache/20/et-divi-dynamic-20.css?ver=1646846671	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/wp-content/et-cache/20/et-divi-dynamic-20e22a.css	(from http://localhost/wordpress/)
17:25:40	822/822	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Mar%202022%2017:25:40%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
17:25:41	2325/2325	---M--	200	added ('OK')	application/json	date:Wed,%2009%20Mar%202022%2017:25:40%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
17:25:42	2393/2393	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Mar%202022%2017:25:41%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	C:/My%20Web%20Sites/Portfolio%20pal%202/localhost/wordpress/wp-json/oembed/1.0/embedd248	(from http://localhost/wordpress/)
